month,total_rainfall,no_of_rainy_days
2015-01-01,79.6,6
2015-02-01,18.8,6
2015-03-01,84.4,5
2015-04-01,73.2,13
2015-05-01,89.0,12
2015-06-01,95.8,10
2015-07-01,116.8,13
2015-08-01,185.8,11
2015-09-01,61.6,8
2015-10-01,87.2,9
2015-11-01,72.6,13
2015-12-01,302.3,19
2016-01-01,126.6,15
2016-02-01,186.0,10
2016-03-01,6.2,6
2016-04-01,89.8,14
2016-05-01,193.8,12
2016-06-01,162.8,13
2016-07-01,168.6,20
2016-08-01,139.2,15
2016-09-01,118.9,15
2016-10-01,181.0,16
2016-11-01,290.2,20
2016-12-01,292.6,23
2017-01-01,197.6,21
2017-02-01,158.4,15
2017-03-01,136.2,11
2017-04-01,208.6,21
2017-05-01,190.0,15
2017-06-01,106.0,10
2017-07-01,79.6,9
2017-08-01,84.2,18
2017-09-01,124.4,19
2017-10-01,120.8,18
2017-11-01,268.6,24
2017-12-01,371.2,23
2018-01-01,287.0,25
2018-02-01,14.8,5
2018-03-01,44.6,10
2018-04-01,61.2,14
2018-05-01,132.2,19
2018-06-01,182.6,17
2018-07-01,143.2,10
2018-08-01,121.6,11
2018-09-01,144.4,13
2018-10-01,234.4,18
2018-11-01,169.6,27
2018-12-01,172.6,19
2019-01-01,63.6,9
2019-02-01,31.6,5
2019-03-01,72.2,6
2019-04-01,174.8,9
2019-05-01,69.0,13
2019-06-01,173.8,16
2019-07-01,12.2,8
2019-08-01,11.8,6
2019-09-01,22.8,4
2019-10-01,176.8,15
2019-11-01,137.4,15
2019-12-01,421.5,14
